ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14402011,02.07.17 16:20:32,15,29100,29100
14402280,03.07.17 11:43:29,10,62,62
14402393,03.07.17 14:19:13,22,6852,6852
14402541,03.07.17 17:35:28,10,1878,1878
14402638,03.07.17 22:52:30,2,2498,2498
14402676,04.07.17 8:50:46,10,4683,4683
14403575,07.07.17 11:24:38,10,1450,1450
14404197,08.07.17 15:21:25,12,500,500
14405111,10.07.17 14:37:23,5,4808,4808
14405162,10.07.17 15:38:17,20,14000,14000
14405212,10.07.17 17:05:28,4,50186,50186
14405899,12.07.17 13:59:16,18,2740,2740
14406309,14.07.17 9:58:24,8,2232,2232
14406558,14.07.17 16:33:23,3,648,648
14407372,16.07.17 13:01:49,3,2300,2300
14407472,16.07.17 15:00:00,19,4085,4085
14407579,16.07.17 17:58:25,5,3074,3074
14407747,17.07.17 10:17:01,7,380,380
14407831,17.07.17 12:27:42,15,500,500
14407906,17.07.17 14:02:32,19,271,271
14408130,17.07.17 23:27:13,1,15190,15190
14408332,18.07.17 13:55:48,10,6979,0
14408770,20.07.17 7:03:53,1,1800,1800
14408894,20.07.17 17:32:28,20,5654,5654
14408896,20.07.17 17:41:12,12,1463,1463
14409432,21.07.17 20:16:30,2,354,354
14409460,21.07.17 22:25:44,15,72544,72544
14409624,22.07.17 11:48:24,7,5289,5289
14409704,22.07.17 13:50:43,20,656,656
14410843,25.07.17 8:54:26,10,25111,25111
14410870,25.07.17 10:06:01,10,8943,8943
14411096,25.07.17 17:02:14,15,2472,2472
14411353,26.07.17 21:48:42,16,580,580
14411537,27.07.17 19:12:40,3,40565,40565
14412145,29.07.17 10:12:11,11,5544,5544
14412274,29.07.17 13:00:24,22,3429,3429
14412835,30.07.17 15:55:55,10,337,337
14412939,30.07.17 20:07:37,3,100000,100000
14412996,31.07.17 7:01:23,10,2186,2186
14413195,31.07.17 13:36:29,10,1165,1165
14413322,31.07.17 17:03:50,16,900,900
14413397,31.07.17 21:10:02,21,2632,2632
14413406,31.07.17 22:44:54,10,90198,90198
14413445,01.08.17 8:54:26,10,5376,5376
14413798,02.08.17 7:01:37,5,47649,47649
14414086,03.08.17 15:38:37,9,130655,130655
14414178,04.08.17 7:02:41,18,611,611
14414496,04.08.17 15:52:44,11,66,0
14414587,04.08.17 19:09:25,12,392,392
14414724,05.08.17 11:01:19,5,13190,13190
14414740,05.08.17 11:22:56,13,4512,4512
14415082,06.08.17 7:02:21,13,12168,12168
14415279,06.08.17 13:44:47,4,5888,5888
14415712,07.08.17 13:52:57,3,868,868
14415727,07.08.17 14:16:18,10,1280,1280
14416021,08.08.17 10:30:29,4,12368,12368
14416062,08.08.17 11:38:45,17,1084,1084
14416345,08.08.17 22:02:05,3,1485,1485
14416913,11.08.17 10:16:31,14,75335,75335
14417048,11.08.17 12:34:19,12,310,310
14417392,12.08.17 7:01:41,18,16164,16164
14417423,12.08.17 9:07:53,10,416,416
14417700,12.08.17 15:21:29,20,17830,17830
14417743,12.08.17 16:36:16,17,1892,1892
14417849,12.08.17 20:39:34,2,17523,17523
14417993,13.08.17 10:26:45,12,5442,5442
14417994,13.08.17 10:27:03,12,25695,25695
14418354,13.08.17 20:33:36,18,18385,18385
14418848,14.08.17 21:12:12,13,19530,19530
14418865,14.08.17 22:22:43,6,4716,4716
14419012,15.08.17 11:53:43,19,2952,2952
14419079,15.08.17 13:38:35,10,6774,6774
14419330,16.08.17 8:49:18,7,174,174
14419608,17.08.17 13:47:34,17,4756,4756
14419764,18.08.17 7:02:10,19,9000,9000
14420130,18.08.17 15:43:17,8,3753,3753
14420414,19.08.17 10:47:16,6,642,642
14420824,19.08.17 21:49:49,19,3484,0
14420849,19.08.17 23:17:17,8,995,995
14421069,20.08.17 13:04:34,20,1455,1455
14421383,21.08.17 7:00:50,16,13806,13806
14421393,21.08.17 7:04:29,19,5466,5466
14421409,21.08.17 8:38:26,11,2626,2626
14421713,21.08.17 16:31:26,13,18468,18468
14421773,21.08.17 17:53:40,15,2802,2802
14422119,22.08.17 15:29:09,10,1746,1746
14422373,23.08.17 13:25:52,1,2289,2289
14422625,24.08.17 13:42:34,10,1000,1000
14422876,25.08.17 10:32:16,12,7124,7124
14423161,25.08.17 17:44:47,12,2516,2516
14423204,25.08.17 19:13:28,16,23072,23072
14423251,25.08.17 21:24:13,14,4508,4508
14423521,26.08.17 13:47:36,12,2279,2279
14423760,26.08.17 22:09:00,18,4923,4923
14424008,27.08.17 12:55:45,18,794,794
14424255,27.08.17 18:34:22,3,400,400
14424352,27.08.17 23:11:52,10,21552,21552
